name	group	weak	contrast	confusable	fix
icon_contract_gather	contract	"r2.5 dust dots; drop tips taper to ~4u; 6u arm bands on diagonals"	"#8D939B drops/circles on #C9CDD2 arms muddy"	"icon_cargo_salvage; icon_cargo_ore"	"tong arms to 12u; one 32u gripped chunk at the jaw, drop dust dots"
icon_contract_haul	contract	"4u lid tabs; r3 hubs with 5u wheel ring close up"	"#8D939B X-band/strip and hubs in rims go muddy"	"icon_cargo_crate; icon_cargo_container"	"wheels to r12 with 8u dark separation from base bar; one bold 12u diagonal strap replacing the thin X"
icon_contract_hunt	contract	"6u tick caps; 8u diamonds lose their points"	"#8D939B caps/diamonds on #C9CDD2 muddy"	"icon_contract_expedition; icon_gear"	"center chevron/target to ~42u; crosshair ticks to 14u and let them break the ring"
icon_service_bounty	service	"6u bar nubs; 8u diamonds"	"#8D939B bar crossing #C9CDD2 octagon bands muddy at overlaps"	"icon_zoom_minus; icon_service_vault"	"coin bar to 20u tall with 8u+ notch slots; octagon frame to 12u, drop diamonds"
icon_service_insurance	service	"3x3 squares; side slivers taper to <2u tips"	"#8D939B band/lock/circle on #C9CDD2 body muddy"	"icon_shield; icon_hull"	"canopy arc 60u+ wide over the triangle; 8u+ straight legs replacing tapered slivers"
icon_service_vault	service	"6u corner squares; 7u dial spokes; r3.5 hub"	"#8D939B hinge tabs/corners on #C9CDD2 plate muddy"	"icon_gear; icon_contract_hunt"	"one 14u-thick lever to a r16 hub; single 18u hinge column replacing the 3 tabs"
icon_close	hud	"4u diagonal joint slivers; r3 bolts"	"#565C63 slivers on #C9CDD2 blades smear together"	"icon_gear; icon_zoom_plus"	"blades to 18u thick into a compact X with 10u center diamond; drop joint slivers and bolts"
icon_gear	hud	"3u square bore frame; r3 bolts"	"#565C63 bolts/frame on #C9CDD2 ring muddy"	"icon_service_vault; icon_close"	"four massive 26u lug teeth; bore to 26u with 7u+ walls, drop bolts"
icon_hull	hud	"4u damage bars x4; crack narrows to ~4u near tip"	"#565C63 bars on #C9CDD2 shield smear at small sizes"	"icon_shield; icon_service_insurance"	"crack to 12u wide edge-to-edge; merge gouges into two 10u slashes (hull = cracked shield)"
icon_logout	hud	"r2 rivets (4u across)"	"#565C63 edge bands on #C9CDD2 bracket muddy; rivets invisible"	"icon_contract_haul; icon_cargo_container"	"exit arrow head to 36u tall filling the right half; C-spine to 16u, drop rivets"
icon_shield	hud	"4u gouge bars x4"	"#565C63 bars/stave on #C9CDD2 smear at small sizes"	"icon_hull; icon_service_insurance"	"one 20u full-height center boss (uncracked = shield); drop the 4u bars"
icon_zoom_minus	hud	"6u light + 6u mid frame strips merge; r3 corner dots"	"#565C63 inner strip beside #C9CDD2 outer strip reads as one gray at 24px"	"icon_zoom_plus; icon_cargo_data_core"	"minus bar to 12u tall x 44u; handle to 24u stub - change handle angle vs plus"
icon_zoom_plus	hud	"6u double-frame strips; r3 corner dots"	"#565C63 inner strip on #C9CDD2 outer strip merges at 24px"	"icon_zoom_minus; icon_close"	"plus arms to 12u thick x 46u; thicken handle to 24u and silhouette-differentiate from minus"
icon_cargo_container	cargo	"4u frame; 4u ribs x3; 4x4 corner studs"	"none - #2B2F35 body vs #C9CDD2 strong"	"icon_cargo_crate; icon_contract_haul"	"frame and ribs to 10u; corrugated end notches cut into the outer silhouette"
icon_cargo_crate	cargo	"3u top strip; 4u side rails; 4u handle bar"	"none - light details on #2B2F35 strong"	"icon_cargo_container; icon_contract_haul"	"two 14u vertical straps plus one 26u central latch plate; strips to 8u"
icon_cargo_data_core	cargo	"6u gap between center square and ring fills solid at 24px; 7u edge tabs"	"none - #2B2F35 on #C9CDD2 strong"	"icon_slot_c; icon_slot_w"	"center chip to 24u with 8u+ moat; one 12u notched corner key to break symmetry"
icon_cargo_fuel_cell	cargo	"4u bands x2; 4u cap tab; 4x4 gauge dots with 4u gaps"	"none - light on #2B2F35 strong"	"icon_slot_engine; icon_slot_power"	"bands to one 12u hazard stripe or a 28u fuel-drop sigil; kill gauge dots"
icon_cargo_ore	cargo	"4-5u diagonal veins; 6u stem vein; 4x4 flecks"	"none - light on #2B2F35 strong"	"icon_cargo_salvage; icon_contract_gather"	"one 12u fissure splitting two huge facets; 3-bump boulder outline, drop flecks"
icon_cargo_salvage	cargo	"3u plate slots with 2u gap; 3u hook tab; ~4u edge highlights"	"none - light on #2B2F35 strong"	"icon_cargo_ore; icon_contract_gather"	"one 10u vent slot in a 30u plate; 8u edge highlights and one 20u torn claw end"
icon_credits	cargo	"4u dark inner hex ring; 4u crossbar; 4x4 dots"	"#2B2F35 stem merges into #2B2F35 inner ring, glyph blobs"	"icon_service_vault; icon_cargo_data_core"	"credit glyph to 30u tall bold stroke kept clear of the ring; single 8u+ hex ring, drop second ring"
icon_ammo	weapon	"2u gap body-to-base cap; 2u side notch bands; 6x6 primer dots"	"#E8703A 6x6 primer on #C9CDD2 base plate turns to dirty blotch"	"icon_module_p_std"	"2 oversized shells filling canvas with 12u caliber grooves; one full-width ember band at base"
icon_weapon_cannon	weapon	"2u gap receiver-to-lower rail; 6x8 recoil strut; 6x8 muzzle ember"	"#E8703A sight block inset on #C9CDD2 receiver smears at 24px"	"icon_weapon_plasma; icon_weapon_rocket"	"giant stepped muzzle brake + 12u barrel; one fat recoil spring coil"
icon_weapon_laser	weapon	"2u grille slits; 4x4 diagonal ring notches; 8x10 stems"	"light ring vs light core block with only 9u same-tone rim fuses into one disc"	"icon_weapon_mine"	"one huge aperture ring 14u+ thick; 4 chunky 10u emitter pods breaking the ring"
icon_weapon_mine	weapon	"3u face slots; 4x3 cap notch; 6u cap prongs; spike tips taper to 0"	"#E8703A r6 core flattens to gray smudge at 3px"	"icon_weapon_laser"	"3 fat horns at 2x scale; single big dark aperture replacing thin slots"
icon_weapon_plasma	weapon	"4u gaps between 4 intake ribs; 4u ember stripe; 6u nozzle bore"	"4u #E8703A band across #C9CDD2 body turns to a smear line"	"icon_weapon_cannon; icon_weapon_rocket"	"giant nozzle bell with deep dark bore; 2 fat vents replace 4 ribs; 8u ember band"
icon_weapon_rocket	weapon	"three 4u vertical rails; fin tips taper to points; 6x12 exhaust ember"	"6u ember exhaust against dark panel edge drops into background"	"icon_weapon_cannon; icon_module_e_std"	"oversized nose cone + huge exhaust plume; one 10u spine replacing hairline rails"
icon_module_b_afterburner	module	"6u plate rim; 4u rivet dots; 8u chevron arms at 2u interlock gaps"	"6u rim blurs away at 16px"	"b_fold; c_ewar; c_nexus; c_scanner; c_target; c_twin (identical chamfer plate)"	"twin exhaust bells protruding past bottom edge; chevrons scaled to touch both frame edges"
icon_module_b_fold	module	"3u side tick bars; r4 hinge dot; 4u rivets"	"3u light ticks on light frame edge = smudge"	"b_afterburner; c_ewar; c_nexus; c_scanner; c_target; c_twin"	"giant fold arrow breaking left+right plate edges; 12u hinge circle"
icon_module_c_ewar	module	"5u gaps between the 3 broadcast wedges merge; 6u window frame; 4u rivets"	"thin wedge tips fade into #C9CDD2 plate"	"c_twin; c_scanner; b_afterburner; b_fold"	"one giant jam cone at 2x; 24u aperture square with 8u frame"
icon_module_c_nexus	module	"3u dark border of center node; 6u center light square; 4u rivets"	"3-tone stack at 3px = mud"	"h_composite; c_target; b_fold"	"giant central hub diamond 28u+; struts extended to break the frame corners"
icon_module_c_scanner	module	"5u radar arcs; 3u top bar; 4u rivets"	"sub-5u dark arcs on light field gray out into haze"	"c_target; c_ewar; b_afterburner"	"one huge sweep wedge + single 10u arc; kill all thin bars"
icon_module_c_target	module	"4u border of dark field; 3u top/bottom ticks; 4u side notches"	"tone reversal at 2px = mud"	"c_nexus; b_fold; c_twin"	"12u crosshair breaking all four plate edges; 14u center square"
icon_module_c_twin	module	"4u divider band; 8u window slots; 4u light dots; 6u nubs"	"light r2 indicators on #2B2F35 frames swallowed by dark"	"c_ewar; b_afterburner; c_scanner"	"two giant stacked ports running edge to edge; drop the 4u divider"
icon_module_e_ion	module	"two 4u accelerator fins with 3u gap merge; 5u mouth strip; 4u rivets"	"thin light fins on dark bg + dark bore in light bell soften to haze"	"e_std; e_vector; weapon_rocket"	"giant stepped ion bell at 2x; one 12u accelerator ring replacing hairlines"
icon_module_e_std	module	"4u dark trim band; 5u exhaust strip; 6x8 inlet neck"	"4u #2B2F35 band on light nozzle = dirty streak"	"e_ion; e_vector; weapon_cannon"	"oversized flared nozzle lip silhouette; single huge dark throat slot"
icon_module_e_vector	module	"4u vent slits with 3u walls; 5u exhaust band; 6u strut"	"4u dark slits in light bars smudge shut at 24px"	"e_std; e_ion; weapon_plasma"	"giant gimbal V at 2x breaking the canvas diagonally; 14u throat opening"
icon_module_h_composite	module	"5u rim dots; 6u gaps between quadrant diamonds merge at 24px"	"#565C63 center diamond between #C9CDD2 diamonds goes muddy"	"c_nexus; p_core; u_holds"	"one giant center diamond reaching the frame; 2 large satellites with 10u gaps"
icon_module_h_plate_heavy	module	"4u gap head-to-base merges; 5u top trim; 4u gaps between hex cutouts; r2.5 dots"	"#565C63 5u trim band on #C9CDD2 head smears"	"p_mk2; p_std"	"one giant hex cutout at 2x; taller anvil head overhanging the base silhouette"
icon_module_h_plate_light	module	"5u side tabs; hazard stripe tips taper to points"	"#3A3F46 plate body drops out against dark panel"	"c_nexus; c_target; u_holds"	"20u hazard stripes running off all four edges; 2 deep corner notches"
icon_module_p_core	module	"4u corner notch squares; 5u top/bottom trim bands; 4u rivets"	"#3A3F46 side wedges merge into background tone"	"c_nexus; h_composite"	"giant 40u core cross/crystal; corner notches become 4 big chamfer bites"
icon_module_p_mk2	module	"five 6u slots with 7.5u ribs merge at 24px; 4u trim bands; 5u side strips"	"#565C63 4u bands on #C9CDD2 body = dirty edge lines"	"p_std; h_plate_heavy"	"2 huge bays replace 5 slots; giant crown cap overhanging the body"
icon_module_p_std	module	"6u gaps between 3 cell bars; 4u top trim band; 5u side dots"	"#2B2F35 backing vanishes vs dark panel, frame looks broken"	"p_mk2; h_plate_heavy; icon_ammo"	"2 fat 14u cells; oversized stepped foot silhouette"
icon_module_s_heavy	module	"6u inner arc band; 4u gap between arcs merges; 5u dark nubs; 6u top block"	"#3A3F46 5-6u marks on light arcs smear to haze"	"s_ion; s_light"	"single 14u dome with 3 heavy ribs breaking the arc; one fat asymmetric foot"
icon_module_s_ion	module	"5u lattice bars with 4u gaps merge into a gray blob"	"all-#C9CDD2 lattice inside dome = zero tone separation"	"s_heavy; s_light"	"giant ion X or hex aperture with 10u beams; deeper dome cutout"
icon_module_s_light	module	"5u crossbar between feet; 6u top block"	"#3A3F46 top block barely separates from dark panel edge"	"s_heavy; s_ion"	"giant apex fin/spike breaking the top edge; wide open throat under the dome"
icon_module_u_cargo	module	"4u lid trim line; 4u side straps; r2 rivets"	"#565C63 4u trim on light lid smears"	"u_refine; h_plate_heavy"	"giant corner brackets + one huge latch band; asymmetric overlapping lid"
icon_module_u_drones	module	"2u gap between the drones' lower fins; 4u wing bars; fin tips taper to 0"	"#565C63 nubs on light frame edge smear"	"p_std; c_twin; u_holds"	"one giant delta-wing drone at 2x; drop the second drone"
icon_module_u_holds	module	"8u slot cutouts with 8u walls merge; 4u #565C63 bands; 6u side lugs"	"#565C63 4u bands on light plate = dirty edge line"	"p_mk2; h_plate_light; u_drones"	"2 giant trapezoid hold mouths breaking the lower edge; drop the slot grid"
icon_module_u_refine	module	"8u funnel throat cutout; 4u tank bands; 12x4 and 8x4 mid-gray ticks; 12x10 neck"	"#565C63 4u bands on light tank smear shut at 24px"	"u_cargo"	"giant V funnel at 2x with deep throat; one 10u tank band"
icon_module_u_salvage	module	"3u inner lip step at claw tip; 4u boom stripes; 12x4 and 8x4 ticks"	"#565C63 4u stripes on light boom = smudge"	"u_tractor; weapon_cannon"	"one giant claw with 15u jaws and deep throat gap; oversized pivot hub"
icon_module_u_tractor	module	"5u coil bands; 2u gap housing-to-beam merges; r2 dots"	"#565C63 5u coils on light trapezoid fade into body tone"	"u_salvage; w_mining"	"giant 3-prong fork at 2x on the right; one fat emitter barrel"
icon_module_w_mining	module	"2u gaps box-to-rail and rail-to-rail; 5u rails; 6x8 cross; r2 dots"	"#565C63 clamps/cross on light body smear"	"w_railgun; u_tractor"	"giant auger/drill cone at 2x; single 10u barrel"
icon_module_w_railgun	module	"4u gap between twin rail stacks merges; 4u mid crossbar; 5x6 ticks"	"#565C63 slots on light box smear; rails fuse into one light slab"	"w_mining; u_tractor"	"converging rails forming a clear V channel; giant capacitor drum on the housing"
icon_mineral_aluminium	mineral	"2.5u diagonal seam; 3u notch chip; 6u gaps blade-to-shards"	"body + 2 shards share #C9CDD2, gaps antialias shut; #3A3F46 seams go grey"	"iridium (twins); tungsten at 16px"	"reshape as 3 fat parallel cleave bars 12u+ wide with 10u gaps - striping itself becomes the mark"
icon_mineral_cerulite	mineral	"1.5u seam; 6u triangle notch; 4u chip; 8u diamonds"	"#3A3F46 diagonal band vs corner block merge on #C9CDD2"	"gold; iron; copper"	"one huge 14u full-bleed cleave band splitting the rock into two counter-tilted halves"
icon_mineral_chromium	mineral	"6u side chips; 6u light diamond; 5u facet strips; 8u diamond"	"5u #3A3F46 facet strips merge with centre column; 3-tone mush"	"silicon; titanium"	"bold 14u horizontal mirror band edge-to-edge + squat double-terminated crystal (kill the tall taper)"
icon_mineral_cobalt	mineral	"4x4u light squares in corner clamps; 3u seam; clamp arms only 2px at 24px"	"#3A3F46 clamps near-invisible on dark panel"	"iron"	"merge the 4 corner marks into 2 giant 16u C-clamps biting the rock top and bottom"
icon_mineral_copper	mineral	"3.5u crack seams; 6u notch; 8u diamonds"	"#3A3F46 patches and crack seams same tone - cuts smudge together"	"gold; iron; cerulite"	"split into 2 chunks by a bold 12u lightning-bolt gap (oxidised fracture)"
icon_mineral_emberite	mineral	"3u seam; 4u centre diamond; 8u chip triangle; 8u diamonds"	"both lobes share #C9CDD2, split only 3-6u - reads as one blob"	"copper/gold; krilium"	"widen the central split to a bold 12u V-void with offset lobes (clear two-piece shatter)"
icon_mineral_gold	mineral	"3.5u diagonal band; 3.5u vertical seam; 6u notch; 6u triangle"	"#3A3F46 step block vs facets same tone - lose separation"	"copper; iron; cerulite"	"stepped bullion PROFILE in the outline itself: 2 stacked chunky blocks with a 12u step"
icon_mineral_iridium	mineral	"6u diamond; 8u diamond; 5 shards ~14u with 2-4u gaps to the blade"	"#C9CDD2 shards and blade same fill, gaps antialias shut"	"aluminium (twins); voidglass"	"one dominant 40u+ spearhead crystal with 2 bold edge notches, shards fused into its base"
icon_mineral_iron	mineral	"3u seam; 4u V bands; 6u notch; 8u diamonds"	"#3A3F46 V bands + seam + facets all one tone - V reads as one smudge"	"copper; gold; cerulite"	"carve the V as a bold 14u wedge bite out of the outline top (forked crown silhouette)"
icon_mineral_krilium	mineral	"3x3u light dots; 5u base band; 6u diamonds; side+centre crystals touch"	"#232629 crystal halves vanish into dark panel"	"osmium; titanium/silicon"	"5-spike crown cluster (count 3 to 5) with one giant centre spike and no base slab"
icon_mineral_neodymium	mineral	"6u diamonds; 6u ray quads; 8u wedge"	"3 #C9CDD2 rays converge and merge into a grey star; #232629 blob vs dark panel"	"nickel (twins); silver"	"reshaped bold horseshoe magnet outline (U-arc, 14u legs) - instantly unique"
icon_mineral_nickel	mineral	"6u diamonds; 6u ticks"	"#232629 body vs dark panel muddy; small #C9CDD2 ticks dissolve at 16px"	"neodymium (twins); silver"	"fat coin/disc outline with one bold 12u diagonal band and a rim notch"
icon_mineral_osmium	mineral	"4-8u gaps between the 3 chunks merge at 24px; 6u streaks; 6u diamonds"	"#232629 chunks on dark panel = invisible separations"	"krilium; titanium"	"collapse to 1 giant hex column + 2 tiny satellite chips with 14u+ gaps (extreme size hierarchy)"
icon_mineral_palladium	mineral	"4u light top-stripes; 4-6u gaps between the 3 slabs; 6u diamonds; 8u wedge"	"#232629 slab faces vanish on dark panel - reads as 3 floating stripes"	"platinum (twins); gold"	"stagger slabs into a bold diagonal staircase (14u offsets, 10u gaps) - ziggurat outline"
icon_mineral_platinum	mineral	"4u top band; 5u bands; 5u tick; 6u diamonds"	"4-9u bands with 8-11u dark gaps muddies to grey mush"	"palladium (twins); silicon"	"one huge 20u domed cut-gem facet over a single 10u band (two elements only)"
icon_mineral_silicon	mineral	"3-5u gaps between the 3 vertical stripes; 6u cross band; 5u tick"	"#232629 crystal vs dark panel; stripes + cross merge into one light smear"	"chromium; titanium; platinum"	"3 fat wafer slabs stacked with 8u dark gaps + bold flat wafer notch on one side"
icon_mineral_silver	mineral	"6u mid band; 6u chevron stripes; 6u diamonds; 6u corner quads"	"#C9CDD2 chevrons + band criss-cross same tone - asterisk smudge at 24px"	"titanium (twins); silicon"	"single giant 14u bold chevron '<' across the lower half, all other stripes deleted"
icon_mineral_titanium	mineral	"2-4u gaps where the 6 fan stripes converge; 6u diamonds; 6u quad"	"#232629 body vs dark panel; fan stripes merge into a white blob at convergence"	"silver (twins); silicon; chromium"	"asymmetric chamfered armor plate with one deep 18u corner bite + a single 12u vertical band (drop the fan)"
icon_mineral_tungsten	mineral	"5u bottom column; 6u diamonds; 8u wedge; one-sided 8-10u edge notches"	"#232629 shield vs dark panel; two #C9CDD2 V wedges touch and blob at 24px"	"iron; silver/titanium"	"big anvil silhouette (stepped top horn + wide base, 20u tiers) - drop the wedges"
icon_mineral_voidglass	mineral	"2-3u gaps between the 3 nested crescents; 4-5u crescent stripes; tip tapers to 3u"	"#C9CDD2 crescents merge at 24px; #232629 blade vanishes on dark panel"	"iridium; aluminium"	"thicken into one bold 20u crescent blade with a big triangular hole punched through it (the hole is the signature)"
icon_ingot_aluminium	ingot	"3u single groove + two 3x3u stud dots; 3.2u dot-to-bevel gap"	"groove/dots fuse into the #C9CDD2 bevel bands"	"cerulite; chromium; cobalt; iridium; silver; gold"	"one giant 12u full-face-height slot cut through bar centre (single-groove theme at 4x) - lone huge void, still an ingot"
icon_ingot_cerulite	ingot	"three 3u grooves + 3x3u stud dot"	"grooves bridge top+bottom bevel bands; one fused light smear"	"aluminium; chromium; cobalt; iridium; silver"	"three 8u full-height slots (groove count 3 at scale) leaving two thick posts"
icon_ingot_chromium	ingot	"three 3u slanted grooves; centre slant tapers 3-7u"	"grooves overlap both bevel bands and parallel the bevel angle"	"cerulite; cobalt; iridium; silver; aluminium"	"one huge 30-deg diagonal shear slot ~10u wide splitting the bar into two offset halves"
icon_ingot_cobalt	ingot	"2.5u dark slot inside 7u centre block + 3u side grooves"	"block merges with bevel bands; 2.5u slot walls close to solid"	"cerulite; chromium; iridium; silver; nickel"	"giant 24u-wide stepped plinth block with a 12u square window punched through the full face"
icon_ingot_copper	ingot	"both 2u stripes (0.5px at 24px)"	"stripes parallel and 0.3u from the top bevel band - read as bevel highlights"	"neodymium; palladium; silicon; titanium; nickel"	"two full-length 8u dark channels spanning the entire face edge-to-edge (twin-band at 4x)"
icon_ingot_emberite	ingot	"hollow frame walls 2.5-3.5u + 3u side grooves"	"frame 1.3u off top band; gaps close first, result is a blob"	"platinum; tungsten; osmium; palladium; iron"	"giant hollow window 2/3 of the face (~34x18u, 6u walls) - one huge aperture"
icon_ingot_gold	ingot	"r=1 pupil (2u) inside r=3 ring; 3u side grooves"	"2u pupil and 3u ring average to #565C63; dark gap to top band closes"	"voidglass; nickel; aluminium; osmium; titanium"	"one huge 22u circular hole punched clean through the face (bullion stamp at 3x)"
icon_ingot_iridium	ingot	"four 3u grooves + 3x3u stud dot"	"grooves bridge both bevel bands; dot 2u off top band - everything fuses"	"cerulite; chromium; cobalt; silver; aluminium"	"four 6u full-height slots (4-count at scale) making a comb silhouette"
icon_ingot_iron	ingot	"2-2.5u walls of the dark inner quad + 3u side grooves"	"light quad rim 2.5-3u averages to mid #565C63"	"emberite; platinum; tungsten; osmium; cobalt"	"giant 30u chamfered window punched through the face (quad mark at 3x)"
icon_ingot_krilium	ingot	"three 6u triangles taper to zero-thickness tips"	"small #C9CDD2 tips between bevel bands = 1.5px blobs"	"aluminium; cerulite; iridium; chromium; titanium"	"three giant 12u triangular bites notched into the bar TOP EDGE (silhouette change, triangle count kept)"
icon_ingot_neodymium	ingot	"4u cross bars; junction 0.9u off top bevel band"	"X fuses into the bevel highlights"	"copper; titanium; silicon; palladium"	"giant X cutout with ~12u arms spanning the whole face (cross at 3x)"
icon_ingot_nickel	ingot	"r=2 hole in band + 3u side grooves; 4u band-to-bevel gaps"	"dark gaps close and band welds to highlights"	"palladium; platinum; emberite; osmium; tungsten"	"one giant 20u hole punched through the band/face (punch mark at 5x)"
icon_ingot_osmium	ingot	"two 4u diamond holes in 2.5-3u frame"	"frame between bevel bands; walls AA to #565C63 and holes seal"	"nickel; platinum; tungsten; emberite; palladium"	"two giant 14u diamond cutouts side by side (double-hole at 3x)"
icon_ingot_palladium	ingot	"2.5u step ledge + 3u side grooves"	"solid band 2.7u off top bevel band - gap closes at 24px"	"nickel; platinum; silicon; emberite; copper"	"giant 24u-wide half-height notch cut out of the bar TOP EDGE (step as silhouette)"
icon_ingot_platinum	ingot	"2.5-4u slot walls in band + 3u side grooves"	"slot rim vs bevel bands; walls vanish and the slot seals shut"	"palladium; nickel; emberite; osmium; tungsten"	"giant 34u elongated hexagonal slot across the whole face (slotted band at 3x)"
icon_ingot_silicon	ingot	"4u castellation steps + 3u side grooves; 1.6u off top band"	"stepped band fuses with the bevel band before the steps read"	"palladium; nickel; platinum; emberite; copper"	"giant castle crown - two 14u square bites out of the top edge (silhouette)"
icon_ingot_silver	ingot	"two 4.5u grooves with only 3.5u between them - merge at 24px"	"grooves sit inside the top bevel band (0u separation)"	"cobalt; cerulite; chromium; iridium; aluminium"	"two huge 10u full-height slots with a 14u post between (2-count at scale)"
icon_ingot_titanium	ingot	"2-2.5u diagonal slash + 3x3u dot"	"slash runs between the bevel bands; dot fuses"	"neodymium; copper; krilium; gold; palladium"	"giant diagonal shear - bar split into two offset slabs along a 12u-wide cut"
icon_ingot_tungsten	ingot	"2.5-3u frame walls + 3.5x3u tab"	"frame 3-4u from bevel bands; walls AA and tab lost"	"emberite; iron; platinum; osmium; nickel"	"giant rectangular window (30x16u, 6u frame) with a chunky 8u tab block on the right edge"
icon_ingot_voidglass	ingot	"2u ring wall + r=1.5 centre dot"	"ring at 0.5px AA to #565C63; centre dot same tone as ring"	"gold; nickel; aluminium; osmium; titanium"	"giant concentric ring window (outer 22u) with small dark core - one huge aperture"
icon_alt_barred_container_silhouette	alt	"5u inter-slot gaps; 2u sliver bar under top rail; r1.5 bolt holes"	"body #232629 = panel bg (silhouette gone, bars float)"	"barred_rectangular_module; battery_cells; buckled_crate_module"	"10u light-filled grille slots (5 bold cells); merge 2u sliver into single 8u bottom band"
icon_alt_barred_rectangular_module	alt	"5u side lugs; dia-4 corner bolts; 8u bar gaps"	"frame #232629 merges with bg (only 3 bars read)"	"barred_container_silhouette; battery_cells; side_podded_module"	"3 bars at 12u with one taller signature bar; 12u frame band so octagon reads"
icon_alt_battery_cells	alt	"4u top/bottom cap plates; dia-4 bolt dots; 6u slots dark-in-dark"	"#232629 blocks vs bg (blocks vanish, caps float)"	"barred_rectangular_module; barred_container_silhouette; double_window_panels"	"light-filled bold cell slots (8 cells 8u); widen bridge to 20u terminal block"
icon_alt_buckled_crate_module	alt	"4u center buckle slit; dia-4/5 corner bolts"	"#232629 box merges with bg; slit merges with box"	"trapezoid_cup_module; diamond_box_module; barred_rectangular_module"	"10u buckle strap crossing full box; bigger foot flare (24u)"
icon_alt_chevron_engine_module	alt	"~5u chevron strokes; 4u top bar; 3u bottom bar; 5u side rails"	"#2B2F35 octagon merges with bg"	"chevron_striped_canister; stacked_plate_layers; three_horizontal_bars"	"2 chevrons at 12u arms; reshape body to engine-bell/nozzle silhouette"
icon_alt_chevron_striped_canister	alt	"4u side rails; 3u bottom bar; ~4u chevron stroke; dia-4 holes in 8u cap"	"#2B2F35 body merges with bg"	"chevron_engine_module; stacked_plate_layers; flared_tower_silhouette"	"cylinder body with elliptical cap; 2 wraparound stripes 12u thick"
icon_alt_claw_hook	alt	"3u light slit in claw head; 4u boom dashes; 4u hook notch; 6u claw wedges"	"polarity inverted: full #C9CDD2 plate vs dark set (blinding square in rows)"	"robotic_arm; open_clamp_module"	"drop light plate bg; one bold 20u C-claw on 12u boom"
icon_alt_crossed_frame	alt	"~4u diagonal struts; 6x6u holes in corner blocks"	"ok (light on dark)"	"octagonal_ring_module; crosshair_target_reticle; open_clamp_module"	"one bold 10u X; corner blocks merged into single big square hub"
icon_alt_crosshair_target_reticle	alt	"6u crosshair arms; 6u ring band; 6u bracket legs"	"entire structure #232629 on dark panel = invisible; only ember dots read"	"missile_crosshair; crossed_frame; octagonal_ring_module"	"light-steel ring (r22, 10u band) + 8u arms; ember only as center pip"
icon_alt_diamond_box_module	alt	"4u keel strip; ~4u side bands; 6x6u corner chips"	"inner diamond frame merges with facet at size"	"flame_emblem; three_horizontal_bars; missile_crosshair"	"10u full-height keel spine; one big 40u+ diamond facet"
icon_alt_dish_antenna_signal	alt	"3u foot bar; dia-4 base bolts; r3.5 feed head; ~4u feed strut; 5u arc bands"	"dark dish + dark strut merge with bg; arcs fade"	"hopper_funnel; winged_tower_emitter"	"full semicircle dish 12u band; 2 signal arcs 8u thick"
